"Percent of individuals living below 100% of the Federal Poverty Threshold. Federal Poverty Thresholds, as calculated by the U.S. Census Bureau can be accessed here. - See more at: http://www.cancommunitydashboard.org/drilldowns/low-income.php#sthash.lVfSoJmk.dpuf",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Data for ""% of indivudals living below the poverty level"" ",,,,,,,,,,
,,,,,,,,,,
,City of Austin,Travis County,Austin MSA,Texas,USA,,,,,
2008,17.0%,14.8%,12.8%,15.8%,13.2%,,,,,
2009,18.4%,16.2%,13.9%,17.2%,14.3%,,,,,
2008,17.0%,15.0%,13.0%,16.0%,13.0%,,,,,
2009,18.0%,16.0%,14.0%,17.0%,14.0%,,,,,
2010,20.8%,19.2%,15.9%,17.9%,15.3%,,,,,
2011,20.3%,18.5%,15.2%,18.5%,15.9%,,,,,
2012,20.3%,18.4%,15.5%,17.9%,15.9%,,,,,
2013,17.8%,16.1%,14.3%,17.5%,15.8%,,,,,
2014,20.1%,17.2%,15.1%,17.2%,15.5%,,,,,
2015,15.7%,13.3%,11.7%,15.9%,14.7%,,,,,
,,,,,,,,,,
Number of indivdiuals living below the poverty level ,,,,,,,,,,
,,,,,,,,,,
,City of Austin,Travis County,Austin MSA,Texas,USA,,,,,
2008," 128,941 "," 144,336 "," 206,337 "," 3,760,431 "," 39,108,422 ",,,,,
2009," 142,930 "," 163,630 "," 232,478 "," 4,150,242 "," 42,868,163 ",,,,,
2010," 162,072 "," 194,156 "," 268,740 "," 4,414,481 "," 46,215,956 ",,,,,
2011," 162,490 "," 192,436 "," 265,738 "," 4,628,758 "," 48,452,035 ",,,,,
2012," 166,859 "," 197,657 "," 278,461 "," 4,562,352 "," 48,760,123 ",,,,,
2013," 154,172 "," 176,920 "," 262,644 "," 4,530,039 "," 48,810,868 ",,,,,
2014," 165,558 "," 193,753 "," 287,335 "," 4,523,708 "," 48,208,387 ",," 40,174 ",,,
2015," 131,796 "," 153,579 "," 229,383 "," 4,255,517 "," 46,153,077 ",,,,,
,,,,,,,,,,
"Source(s): Table B17002 - Ratio of Income to Poverty Level in the Past 12 Months, 2015 American Community Survey, 1-Year Estimates",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
