GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Aggregate household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Aggregate household income in the past 12 months (in 2016 inflation-adjusted dollars)
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",242199200,26910847
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",257859500,41991421
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",60540400,16824359
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",153846200,22511724
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",173857200,19317910
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",173794800,24311997
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",209467500,29585509
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",109083100,18837516
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",128739300,20194740
1400000US48453000306,48453000306,"Census Tract 3.06, Travis County, Texas",195944300,28494628
1400000US48453000307,48453000307,"Census Tract 3.07, Travis County, Texas",67151000,7100912
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",126859300,27303428
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",88901000,10706258
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",146184200,25334683
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",7757700,2556571
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",34630400,7003216
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",21842400,5879175
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",64758600,13603680
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",33533400,5500574
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",72942900,15707557
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",77122700,12273405
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",53780500,6890201
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",75643100,8924094
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",126574300,21279566
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",114856200,19387199
1400000US48453001100,48453001100,"Census Tract 11, Travis County, Texas",735427500,183834999
1400000US48453001200,48453001200,"Census Tract 12, Travis County, Texas",317332900,51409690
1400000US48453001303,48453001303,"Census Tract 13.03, Travis County, Texas",231084000,48916585
1400000US48453001304,48453001304,"Census Tract 13.04, Travis County, Texas",222827900,37342766
1400000US48453001305,48453001305,"Census Tract 13.05, Travis County, Texas",250934000,30730079
1400000US48453001307,48453001307,"Census Tract 13.07, Travis County, Texas",128719400,18038148
1400000US48453001308,48453001308,"Census Tract 13.08, Travis County, Texas",102838000,14910349
1400000US48453001401,48453001401,"Census Tract 14.01, Travis County, Texas",154088800,17164422
1400000US48453001402,48453001402,"Census Tract 14.02, Travis County, Texas",119780800,13294437
1400000US48453001403,48453001403,"Census Tract 14.03, Travis County, Texas",44566200,5659405
1400000US48453001501,48453001501,"Census Tract 15.01, Travis County, Texas",245169000,28440639
1400000US48453001503,48453001503,"Census Tract 15.03, Travis County, Texas",125353600,17555988
1400000US48453001504,48453001504,"Census Tract 15.04, Travis County, Texas",255313400,54389174
1400000US48453001505,48453001505,"Census Tract 15.05, Travis County, Texas",180069100,27449261
1400000US48453001602,48453001602,"Census Tract 16.02, Travis County, Texas",193453200,29153701
1400000US48453001603,48453001603,"Census Tract 16.03, Travis County, Texas",371985400,61115155
1400000US48453001604,48453001604,"Census Tract 16.04, Travis County, Texas",377700200,67300311
1400000US48453001605,48453001605,"Census Tract 16.05, Travis County, Texas",296463100,57753977
1400000US48453001606,48453001606,"Census Tract 16.06, Travis County, Texas",-,**
1400000US48453001705,48453001705,"Census Tract 17.05, Travis County, Texas",313143700,37817560
1400000US48453001706,48453001706,"Census Tract 17.06, Travis County, Texas",197141300,18061461
1400000US48453001707,48453001707,"Census Tract 17.07, Travis County, Texas",196689200,22425266
1400000US48453001712,48453001712,"Census Tract 17.12, Travis County, Texas",134780700,13195816
1400000US48453001713,48453001713,"Census Tract 17.13, Travis County, Texas",140598100,12270157
1400000US48453001714,48453001714,"Census Tract 17.14, Travis County, Texas",637334900,56741084
1400000US48453001716,48453001716,"Census Tract 17.16, Travis County, Texas",376860400,57004082
1400000US48453001718,48453001718,"Census Tract 17.18, Travis County, Texas",351002200,45873637
1400000US48453001719,48453001719,"Census Tract 17.19, Travis County, Texas",308309000,42692419
1400000US48453001722,48453001722,"Census Tract 17.22, Travis County, Texas",157221100,29344077
1400000US48453001728,48453001728,"Census Tract 17.28, Travis County, Texas",234624700,19632691
1400000US48453001729,48453001729,"Census Tract 17.29, Travis County, Texas",161398000,18524426
1400000US48453001733,48453001733,"Census Tract 17.33, Travis County, Texas",190880500,27004178
1400000US48453001737,48453001737,"Census Tract 17.37, Travis County, Texas",494029400,33128389
1400000US48453001738,48453001738,"Census Tract 17.38, Travis County, Texas",297284800,29768015
1400000US48453001740,48453001740,"Census Tract 17.40, Travis County, Texas",190682200,17884849
1400000US48453001741,48453001741,"Census Tract 17.41, Travis County, Texas",164165700,28896185
1400000US48453001742,48453001742,"Census Tract 17.42, Travis County, Texas",246198900,37663202
1400000US48453001745,48453001745,"Census Tract 17.45, Travis County, Texas",112540400,14891004
1400000US48453001746,48453001746,"Census Tract 17.46, Travis County, Texas",148281400,17536094
1400000US48453001747,48453001747,"Census Tract 17.47, Travis County, Texas",149629900,15352410
1400000US48453001748,48453001748,"Census Tract 17.48, Travis County, Texas",234227900,23508905
1400000US48453001749,48453001749,"Census Tract 17.49, Travis County, Texas",261065400,24815733
1400000US48453001750,48453001750,"Census Tract 17.50, Travis County, Texas",216839000,23299467
1400000US48453001751,48453001751,"Census Tract 17.51, Travis County, Texas",143269700,19173265
1400000US48453001752,48453001752,"Census Tract 17.52, Travis County, Texas",87685300,12022863
1400000US48453001753,48453001753,"Census Tract 17.53, Travis County, Texas",52012200,7430496
1400000US48453001754,48453001754,"Census Tract 17.54, Travis County, Texas",217290700,23378190
1400000US48453001755,48453001755,"Census Tract 17.55, Travis County, Texas",436764500,40503032
