GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Share of Aggregate Income: - Lowest Quintile,Margin of Error; Quintile Share of Aggregate Income: - Lowest Quintile,Estimate; Quintile Share of Aggregate Income: - Second Quintile,Margin of Error; Quintile Share of Aggregate Income: - Second Quintile,Estimate; Quintile Share of Aggregate Income: - Third Quintile,Margin of Error; Quintile Share of Aggregate Income: - Third Quintile,Estimate; Quintile Share of Aggregate Income: - Fourth Quintile,Margin of Error; Quintile Share of Aggregate Income: - Fourth Quintile,Estimate; Quintile Share of Aggregate Income: - Highest Quintile,Margin of Error; Quintile Share of Aggregate Income: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",3.23,1.05,9.06,1.23,15.59,1.55,23.81,1.65,48.3,3.26,17.65,1.93
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",2.69,0.98,7.69,1.28,12.14,1.78,20.06,2.34,57.41,4.01,22.26,2.93
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",0.63,0.69,6.58,3.08,13.48,4.22,22.23,6.01,57.09,12.58,30.63,17.03
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",1.4,0.5,5.43,1.9,11.5,1.66,20.59,2.63,61.08,5.24,27.73,6.21
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",4.3,1.28,10.14,1.92,15.87,1.09,23.22,1.83,46.47,3.23,15.23,1.59
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",2.66,1.22,9.98,1.65,14.31,1.39,23.32,2.01,49.73,4.2,20.86,3.49
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",2.27,1.11,7.85,1,13.69,1.54,22.88,2.03,53.31,3.6,19.34,3.17
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",3.32,0.81,8.08,1.38,13.21,1.72,19.84,2.2,55.56,4.77,24.67,5.38
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",3.03,0.89,7.71,0.98,13.57,1.79,22.16,2.31,53.53,4.59,24.59,4.93
1400000US48453000306,48453000306,"Census Tract 3.06, Travis County, Texas",2.09,0.82,6.8,1.62,13.13,1.69,23.09,3.08,54.88,5.46,24.54,7.65
1400000US48453000307,48453000307,"Census Tract 3.07, Travis County, Texas",3.67,1.12,10.09,1.59,15.09,1.31,25.35,2.6,45.81,3.54,16.92,2.96
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",0.86,0.53,6.04,1.93,15.07,3.48,22.36,4.46,55.67,9.45,29.76,11.91
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",4.36,1.09,10.78,1.29,16.09,1.31,25.31,2.39,43.47,3.14,14.62,2.49
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",0.87,0.71,3.94,1.33,9.66,2.72,17.9,3.02,67.64,6.88,32.83,4.2
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",0.45,0.77,4.21,1.42,9.34,3.76,27.87,6.67,58.14,9.32,21.39,5.99
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",0.14,0.46,4.76,1.67,10.88,1.95,21.82,3.14,62.39,5.63,29.44,6.18
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",0.38,0.61,4.47,2.28,10.99,2.87,19.04,3.31,65.12,7.25,34.61,8.69
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",1.97,1.37,7.9,1.51,12.64,2.18,19.75,3.25,57.73,6.43,28.54,8.55
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",3.42,0.83,9.1,3.28,18.18,2.15,25.38,2.39,43.92,5.49,16.02,2.77
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",2.14,1,6.67,2.12,12.05,2.85,22.68,3.6,56.47,7.41,27.88,6.96
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",4.01,1.02,10.09,2.34,17.02,1.84,24.68,1.77,44.2,4.04,15.89,2.38
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",1.21,0.62,4.68,1.49,11.72,1.76,24.85,2.54,57.54,4.44,21.51,3.92
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",3.26,1.04,9.75,1.74,18.28,1.6,27.45,1.84,41.26,3.44,13.47,2.72
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",3.53,0.82,8.49,1.43,14.04,1.92,22.78,2.48,51.15,5.15,22.12,7.1
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",2.48,0.9,6.91,1.34,13.7,2.23,24.06,2.71,52.85,5.13,23.43,5.03
1400000US48453001100,48453001100,"Census Tract 11, Travis County, Texas",2.53,1.11,7.15,1.67,11.77,2.26,19.57,2.99,58.98,6.96,29.96,4.56
1400000US48453001200,48453001200,"Census Tract 12, Travis County, Texas",3.01,1.01,8.12,1.47,13.42,1.46,22.46,2.43,52.98,4.38,23.18,5.23
1400000US48453001303,48453001303,"Census Tract 13.03, Travis County, Texas",2.65,1.16,8.85,1.95,14.09,2.08,21.59,2.54,52.83,6.06,24.72,6.23
1400000US48453001304,48453001304,"Census Tract 13.04, Travis County, Texas",3.69,1.06,9.24,1.71,13.89,1.83,22.24,2.51,50.94,5.71,22.69,5.81
1400000US48453001305,48453001305,"Census Tract 13.05, Travis County, Texas",2.06,0.95,8.22,1.32,13.9,1.51,23.98,2.63,51.83,3.71,19.71,2.41
1400000US48453001307,48453001307,"Census Tract 13.07, Travis County, Texas",2.2,1.32,8.34,1.22,13.54,1.69,22.04,1.51,53.89,3.86,20.78,3.05
1400000US48453001308,48453001308,"Census Tract 13.08, Travis County, Texas",3.26,1.28,9.45,1.22,15.22,1.68,24.32,2.36,47.74,3.53,18.04,2.07
