GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",1997,111,113,71,38,60,43,35,48,35,77,38,57,60,29,26,31,25,56,39,207,80,144,60,204,86,199,86,203,89,234,75,314,99
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",1108,69,34,38,7,11,20,21,16,12,14,16,40,32,30,27,14,17,14,22,19,22,92,55,69,42,136,76,73,47,149,60,381,78
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",710,60,147,48,15,18,12,13,36,28,7,8,12,11,28,20,47,32,0,13,66,36,58,31,98,46,45,31,71,47,31,28,37,25
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",1629,86,240,83,143,82,64,51,46,37,32,32,59,49,55,51,34,26,50,56,213,87,103,63,109,47,134,79,45,29,74,39,228,63
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",2095,126,120,87,26,31,28,31,73,59,161,93,166,121,60,77,0,13,80,76,171,78,330,146,250,111,237,112,86,53,97,86,210,84
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",1687,98,134,59,67,60,95,59,0,13,0,13,48,49,9,14,35,29,104,72,135,72,226,111,221,94,159,58,101,58,159,69,194,82
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",2785,177,372,128,31,34,93,59,142,67,212,124,161,92,158,83,119,86,55,46,224,95,289,147,253,143,168,77,47,42,249,109,212,100
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",1389,104,93,48,13,15,131,81,88,51,68,53,85,53,52,34,91,43,44,33,111,53,192,90,112,72,93,54,27,24,73,54,116,43
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",1795,85,166,73,82,62,87,49,96,44,204,93,75,39,83,45,42,25,66,43,156,66,203,70,162,72,89,50,118,73,79,42,87,41
