GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars)
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",125111,16436
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",180759,30406
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",87500,42365
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",120625,19874
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",103787,25985
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",129167,27343
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",99808,20273
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",88750,40980
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",105417,28426
1400000US48453000306,48453000306,"Census Tract 3.06, Travis County, Texas",115263,26860
1400000US48453000307,48453000307,"Census Tract 3.07, Travis County, Texas",122292,13552
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",103958,26041
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",51302,15324
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",76067,20039
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",48864,20066
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",-,**
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",8606,7173
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",74375,51820
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",60938,9143
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",17467,12146
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",64583,31683
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",38150,7502
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",66563,11035
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",43163,10166
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",53707,10287
1400000US48453001100,48453001100,"Census Tract 11, Travis County, Texas",244306,50788
