GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",821,118,35,32,29,25,126,66,89,56,62,55,87,60,52,55,57,49,239,91,45,33
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",65,40,8,14,0,13,0,13,5,10,11,17,14,20,0,13,0,13,11,18,16,18
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",710,60,22,21,47,32,136,53,56,33,51,27,57,31,16,17,63,38,205,49,57,32
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",943,119,28,24,43,55,103,50,158,86,68,51,45,32,33,42,70,40,323,96,72,47
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",1274,199,14,22,74,54,291,123,234,126,180,101,103,87,125,112,55,54,198,103,0,13
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",929,118,0,13,50,34,151,65,139,76,106,66,139,77,41,32,111,75,154,83,38,32
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",1961,219,83,89,121,76,235,128,280,107,191,126,163,104,48,45,272,105,425,129,143,111
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",939,99,0,13,55,40,58,36,207,92,139,59,26,19,86,52,46,29,270,95,52,32
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",1276,107,15,16,70,50,160,85,148,76,208,96,89,44,138,63,63,42,329,90,56,37
1400000US48453000306,48453000306,"Census Tract 3.06, Travis County, Texas",1087,112,17,26,65,48,68,53,96,53,112,55,150,86,108,67,57,40,341,112,73,54
1400000US48453000307,48453000307,"Census Tract 3.07, Travis County, Texas",404,57,0,13,6,9,44,25,82,44,59,36,40,32,20,22,21,19,128,50,4,7
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",1064,125,0,13,15,17,74,41,154,64,126,58,68,54,34,28,52,39,364,82,177,66
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",942,124,6,12,59,50,153,81,119,55,104,66,73,38,57,50,78,54,293,96,0,13
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",1608,153,28,31,22,26,13,21,197,104,106,65,143,86,98,76,135,75,716,149,150,108
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",321,37,5,8,0,20,33,32,20,19,42,24,0,20,8,9,12,12,156,38,45,27
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",2252,168,8,11,23,27,70,74,13,20,28,44,21,33,57,45,83,50,1545,195,404,144
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",1535,148,8,14,15,18,8,14,26,31,61,72,41,40,56,61,66,53,957,149,297,128
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",438,66,16,13,30,25,72,34,101,46,27,22,49,38,9,11,39,23,38,27,57,34
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",292,71,6,9,7,10,29,34,44,30,76,45,29,23,22,18,34,21,30,24,15,11
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",817,113,58,41,40,34,90,71,85,63,157,64,82,89,37,35,39,54,180,80,49,44
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",522,98,9,12,40,43,98,60,58,52,37,34,27,25,90,76,20,31,143,61,0,13
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",619,67,14,16,41,28,27,24,68,34,93,39,46,26,24,21,52,36,166,59,88,44
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",611,86,3,6,38,27,166,71,129,50,37,26,36,27,46,35,45,32,105,63,6,10
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",1060,163,60,61,35,34,126,92,102,57,232,113,123,84,74,48,38,35,211,91,59,54
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",719,129,52,57,78,50,33,24,57,49,125,62,37,26,21,20,27,24,223,107,66,61
