GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner-occupied housing units:,Margin of Error; Owner-occupied housing units:,"Estimate; Owner-occupied housing units: - Less than $20,000:","Margin of Error; Owner-occupied housing units: - Less than $20,000:","Estimate; Owner-occupied housing units: - Less than $20,000: - Less than 20 percent","Margin of Error; Owner-occupied housing units: - Less than $20,000: - Less than 20 percent","Estimate; Owner-occupied housing units: - Less than $20,000: - 20 to 29 percent","Margin of Error; Owner-occupied housing units: - Less than $20,000: - 20 to 29 percent","Estimate; Owner-occupied housing units: - Less than $20,000: - 30 percent or more","Margin of Error; Owner-occupied housing units: - Less than $20,000: - 30 percent or more","Estimate; Owner-occupied housing units: - $20,000 to $34,999:","Margin of Error; Owner-occupied housing units: - $20,000 to $34,999:","Estimate; Owner-occupied housing units: - $20,000 to $34,999: - Less than 20 percent","Margin of Error; Owner-occupied housing units: - $20,000 to $34,999: - Less than 20 percent","Estimate; Owner-occupied housing units: - $20,000 to $34,999: - 20 to 29 percent","Margin of Error; Owner-occupied housing units: - $20,000 to $34,999: - 20 to 29 percent","Estimate; Owner-occupied housing units: - $20,000 to $34,999: - 30 percent or more","Margin of Error; Owner-occupied housing units: - $20,000 to $34,999: - 30 percent or more","Estimate; Owner-occupied housing units: - $35,000 to $49,999:","Margin of Error; Owner-occupied housing units: - $35,000 to $49,999:","Estimate; Owner-occupied housing units: - $35,000 to $49,999: - Less than 20 percent","Margin of Error; Owner-occupied housing units: - $35,000 to $49,999: - Less than 20 percent","Estimate; Owner-occupied housing units: - $35,000 to $49,999: - 20 to 29 percent","Margin of Error; Owner-occupied housing units: - $35,000 to $49,999: - 20 to 29 percent","Estimate; Owner-occupied housing units: - $35,000 to $49,999: - 30 percent or more","Margin of Error; Owner-occupied housing units: - $35,000 to $49,999: - 30 percent or more","Estimate; Owner-occupied housing units: - $50,000 to $74,999:","Margin of Error; Owner-occupied housing units: - $50,000 to $74,999:","Estimate; Owner-occupied housing units: - $50,000 to $74,999: - Less than 20 percent","Margin of Error; Owner-occupied housing units: - $50,000 to $74,999: - Less than 20 percent","Estimate; Owner-occupied housing units: - $50,000 to $74,999: - 20 to 29 percent","Margin of Error; Owner-occupied housing units: - $50,000 to $74,999: - 20 to 29 percent","Estimate; Owner-occupied housing units: - $50,000 to $74,999: - 30 percent or more","Margin of Error; Owner-occupied housing units: - $50,000 to $74,999: - 30 percent or more","Estimate; Owner-occupied housing units: - $75,000 or more:","Margin of Error; Owner-occupied housing units: - $75,000 or more:","Estimate; Owner-occupied housing units: - $75,000 or more: - Less than 20 percent","Margin of Error; Owner-occupied housing units: - $75,000 or more: - Less than 20 percent","Estimate; Owner-occupied housing units: - $75,000 or more: - 20 to 29 percent","Margin of Error; Owner-occupied housing units: - $75,000 or more: - 20 to 29 percent","Estimate; Owner-occupied housing units: - $75,000 or more: - 30 percent or more","Margin of Error; Owner-occupied housing units: - $75,000 or more: - 30 percent or more",Estimate; Owner-occupied housing units: - Zero or negative income,Margin of Error; Owner-occupied housing units: - Zero or negative income,Estimate; Renter-occupied housing units:,Margin of Error; Renter-occupied housing units:,"Estimate; Renter-occupied housing units: - Less than $20,000:","Margin of Error; Renter-occupied housing units: - Less than $20,000:","Estimate; Renter-occupied housing units: - Less than $20,000: - Less than 20 percent","Margin of Error; Renter-occupied housing units: - Less than $20,000: - Less than 20 percent","Estimate; Renter-occupied housing units: - Less than $20,000: - 20 to 29 percent","Margin of Error; Renter-occupied housing units: - Less than $20,000: - 20 to 29 percent","Estimate; Renter-occupied housing units: - Less than $20,000: - 30 percent or more","Margin of Error; Renter-occupied housing units: - Less than $20,000: - 30 percent or more","Estimate; Renter-occupied housing units: - $20,000 to $34,999:","Margin of Error; Renter-occupied housing units: - $20,000 to $34,999:","Estimate; Renter-occupied housing units: - $20,000 to $34,999: - Less than 20 percent","Margin of Error; Renter-occupied housing units: - $20,000 to $34,999: - Less than 20 percent","Estimate; Renter-occupied housing units: - $20,000 to $34,999: - 20 to 29 percent","Margin of Error; Renter-occupied housing units: - $20,000 to $34,999: - 20 to 29 percent","Estimate; Renter-occupied housing units: - $20,000 to $34,999: - 30 percent or more","Margin of Error; Renter-occupied housing units: - $20,000 to $34,999: - 30 percent or more","Estimate; Renter-occupied housing units: - $35,000 to $49,999:","Margin of Error; Renter-occupied housing units: - $35,000 to $49,999:","Estimate; Renter-occupied housing units: - $35,000 to $49,999: - Less than 20 percent","Margin of Error; Renter-occupied housing units: - $35,000 to $49,999: - Less than 20 percent","Estimate; Renter-occupied housing units: - $35,000 to $49,999: - 20 to 29 percent","Margin of Error; Renter-occupied housing units: - $35,000 to $49,999: - 20 to 29 percent","Estimate; Renter-occupied housing units: - $35,000 to $49,999: - 30 percent or more","Margin of Error; Renter-occupied housing units: - $35,000 to $49,999: - 30 percent or more","Estimate; Renter-occupied housing units: - $50,000 to $74,999:","Margin of Error; Renter-occupied housing units: - $50,000 to $74,999:","Estimate; Renter-occupied housing units: - $50,000 to $74,999: - Less than 20 percent","Margin of Error; Renter-occupied housing units: - $50,000 to $74,999: - Less than 20 percent","Estimate; Renter-occupied housing units: - $50,000 to $74,999: - 20 to 29 percent","Margin of Error; Renter-occupied housing units: - $50,000 to $74,999: - 20 to 29 percent","Estimate; Renter-occupied housing units: - $50,000 to $74,999: - 30 percent or more","Margin of Error; Renter-occupied housing units: - $50,000 to $74,999: - 30 percent or more","Estimate; Renter-occupied housing units: - $75,000 or more:","Margin of Error; Renter-occupied housing units: - $75,000 or more:","Estimate; Renter-occupied housing units: - $75,000 or more: - Less than 20 percent","Margin of Error; Renter-occupied housing units: - $75,000 or more: - Less than 20 percent","Estimate; Renter-occupied housing units: - $75,000 or more: - 20 to 29 percent","Margin of Error; Renter-occupied housing units: - $75,000 or more: - 20 to 29 percent","Estimate; Renter-occupied housing units: - $75,000 or more: - 30 percent or more","Margin of Error; Renter-occupied housing units: - $75,000 or more: - 30 percent or more",Estimate; Renter-occupied housing units: - Zero or negative income,Margin of Error; Renter-occupied housing units: - Zero or negative income,Estimate; Renter-occupied housing units: - No cash rent,Margin of Error; Renter-occupied housing units: - No cash rent
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",1997,111,1176,120,47,60,38,60,0,13,9,14,35,23,8,12,0,13,27,22,74,43,37,32,17,18,20,23,171,69,104,57,12,19,55,36,849,112,538,106,193,75,118,81,0,13,821,118,128,74,0,13,0,13,128,74,135,73,0,13,0,13,135,73,36,28,0,13,10,16,26,24,180,86,0,13,55,29,125,81,297,89,190,80,86,61,21,24,19,19,26,23
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",1108,69,1043,78,44,35,0,13,0,13,44,35,62,34,0,13,7,11,55,35,58,39,6,10,40,33,12,18,95,57,28,29,26,26,41,37,778,91,570,106,108,50,100,69,6,10,65,40,11,18,0,13,0,13,11,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,16,19,0,13,16,19,0,13,22,25,8,14,0,13,14,20,0,13,16,18
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",710,60,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,710,60,117,42,0,13,0,13,117,42,55,31,14,22,0,13,41,23,75,37,0,13,0,13,75,37,124,44,0,13,25,21,99,43,282,65,191,60,82,37,9,14,57,32,0,13
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",1629,86,686,104,77,57,0,13,0,13,77,57,8,14,0,13,0,13,8,14,32,24,5,10,10,14,17,18,114,59,55,49,30,27,29,25,455,83,312,81,85,43,58,37,0,13,943,119,325,97,0,13,10,14,315,96,120,56,0,13,6,9,114,55,98,68,11,16,61,57,26,31,202,92,56,42,130,78,16,19,126,80,107,69,19,21,0,13,33,36,39,31
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",2095,126,821,186,14,25,0,13,0,13,14,25,59,46,14,23,0,13,45,40,74,83,0,13,0,13,74,83,133,73,54,53,0,13,79,61,541,160,317,136,177,90,47,53,0,13,1274,199,160,94,0,13,0,13,160,94,341,157,0,13,77,70,264,131,66,72,0,13,19,31,47,68,368,139,89,61,269,135,10,15,339,125,290,120,49,37,0,13,0,13,0,13
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",1687,98,758,99,37,29,0,13,0,13,37,29,0,13,0,13,0,13,0,13,34,30,0,13,23,25,11,16,93,65,22,24,0,13,71,60,586,104,342,99,136,58,108,57,8,12,929,118,227,90,0,13,0,13,227,90,48,49,0,13,0,13,48,49,114,72,0,13,53,49,61,51,268,109,44,45,155,78,69,64,234,78,157,57,37,27,40,59,24,23,14,23
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",2785,177,824,189,71,78,0,18,0,18,71,78,28,31,15,23,13,21,0,18,54,36,9,15,45,32,0,18,64,51,10,14,54,50,0,18,607,170,440,122,68,49,99,112,0,18,1961,219,297,99,0,18,0,18,297,99,472,155,0,18,65,85,407,144,278,115,49,64,152,89,77,57,449,174,162,103,196,98,91,77,322,128,228,113,58,47,36,41,128,106,15,24
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",1389,104,450,93,0,13,0,13,0,13,0,13,29,16,10,16,0,13,19,21,47,31,23,22,0,13,24,26,100,63,42,31,0,13,58,64,274,78,147,45,90,48,37,48,0,13,939,99,200,87,0,13,0,13,200,87,212,73,0,13,23,27,189,74,129,49,0,13,106,47,23,22,203,71,44,33,143,58,16,18,143,84,69,46,74,72,0,13,27,22,25,24
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",1795,85,519,103,33,27,9,14,0,13,24,23,71,54,41,39,0,13,30,37,35,29,4,8,0,13,31,27,139,62,11,14,66,59,62,50,238,76,147,67,62,41,29,27,3,7,1276,107,257,81,7,12,0,13,250,81,304,92,0,13,62,54,242,81,156,55,0,13,91,51,65,29,213,79,41,38,110,61,62,39,290,100,197,91,93,57,0,13,32,33,24,22
