--,GEOID,STATE,COUNTY,TRACT,BLOCKGROUP,STUSAB,households,area_median_income,blkgrp_median_income_owners,blkgrp_median_income_renters,avg_hh_size_owners,avg_hh_size_renters,commuters_per_hh_owners,commuters_per_hh_renters,pct_renters,gross_hh_density,median_rooms_per_owner_unit,median_rooms_per_renter_unit,pct_detatched_single_family_uni,median_commute_distance,block_denstiy,employment_access_index,local_job_density,local_retail_job_density,retail_access_index,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type1_ht_own,hh_type1_h_own,hh_type1_t_own,hh_type1_autos_own,hh_type1_vmt_own,hh_type1_transit_trips_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t_rent,hh_type1_autos_rent,hh_type1_vmt_rent,hh_type1_transit_trips_rent,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type2_ht_own,hh_type2_h_own,hh_type2_t_own,hh_type2_autos_own,hh_type2_vmt_own,hh_type2_transit_trips_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t_rent,hh_type2_autos_rent,hh_type2_vmt_rent,hh_type2_transit_trips_rent,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type3_ht_own,hh_type3_h_own,hh_type3_t_own,hh_type3_autos_own,hh_type3_vmt_own,hh_type3_transit_trips_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t_rent,hh_type3_autos_rent,hh_type3_vmt_rent,hh_type3_transit_trips_rent,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type4_ht_own,hh_type4_h_own,hh_type4_t_own,hh_type4_autos_own,hh_type4_vmt_own,hh_type4_transit_trips_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t_rent,hh_type4_autos_rent,hh_type4_vmt_rent,hh_type4_transit_trips_rent,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type5_ht_own,hh_type5_h_own,hh_type5_t_own,hh_type5_autos_own,hh_type5_vmt_own,hh_type5_transit_trips_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t_rent,hh_type5_autos_rent,hh_type5_vmt_rent,hh_type5_transit_trips_rent,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type6_ht_own,hh_type6_h_own,hh_type6_t_own,hh_type6_autos_own,hh_type6_vmt_own,hh_type6_transit_trips_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t_rent,hh_type6_autos_rent,hh_type6_vmt_rent,hh_type6_transit_trips_rent,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type7_ht_own,hh_type7_h_own,hh_type7_t_own,hh_type7_autos_own,hh_type7_vmt_own,hh_type7_transit_trips_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t_rent,hh_type7_autos_rent,hh_type7_vmt_rent,hh_type7_transit_trips_rent,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips,hh_type8_ht_own,hh_type8_h_own,hh_type8_t_own,hh_type8_autos_own,hh_type8_vmt_own,hh_type8_transit_trips_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t_rent,hh_type8_autos_rent,hh_type8_vmt_rent,hh_type8_transit_trips_rent,Shape__Area,Shape__Length
171117,4.8209E+11,48,209,10901,3,TX,999,59646,118901.5713,59145.91493,2.79,2.75,1.3463,1.26485,0.02402,0.1709,7.2,8,98.9372,14.5643,0.00821,4182.08419,0.03456,0.00086,385.11796,59646,4,2,54.87344,29.56482,25.30861,2.56592,32638.68,27.98043,54.90877,29.57449,25.33428,2.57,32638.68,28.39858,53.4381,29.17212,24.26599,2.4,32638.68,10.993,11720,1,1,211.24208,140.17003,71.07205,1.41,21111.84,0.37414,211.85584,140.78498,71.07086,1.41,21111.84,0,186.30809,115.18771,71.12038,1.41,21111.84,15.57342,29823,1,1,86.3715,55.08476,31.28674,1.6,21684.24,0.13205,86.613,55.32643,31.28657,1.6,21684.24,0,76.56052,45.26708,31.29344,1.6,21684.24,5.4965,80522,1,1,35.11048,21.5753,13.53518,1.8,22820.4,0,35.18889,21.65371,13.53518,1.8,22820.4,0,31.92518,18.39001,13.53518,1.8,22820.4,0,47717,2,0,55.43007,38.37044,17.05962,1.76544,9265.32,28.42059,55.64739,38.5523,17.09509,1.77,9265.32,28.39858,46.60121,30.98267,15.61854,1.58,9265.32,29.31467,29823,3,1,93.44647,55.14469,38.30178,2.07544,24068.88,31.95287,93.68222,55.32643,38.35579,2.08,24068.88,32.06291,83.86937,47.76179,36.10758,1.89,24068.88,27.4825,47717,3,1,61.92867,36.18829,25.74038,2.16544,24848.64,30.94876,62.03983,36.26381,25.77603,2.17,24848.64,31.14683,57.41259,33.12027,24.29232,1.98,24848.64,22.90208,89469,4,2,41.77609,23.81168,17.96441,2.64592,33789.96,26.99832,41.85657,23.87419,17.98238,2.65,33789.96,27.4825,38.5066,21.27217,17.23443,2.48,33789.96,7.32867,0.002212668,0.257593775
171118,4.8209E+11,48,209,10901,1,TX,581,59646,91425.45259,45478.30597,2.62,3.15,1.39694,1.31242,0.17556,0.04546,6.9,6,85.37005,15.2893,0.00321,3371.08098,0.00743,0.00055,306.11761,59646,4,2,53.00661,27.92483,25.08178,2.56153,31985.28,7.55256,54.35888,28.85022,25.50867,2.63,31985.28,9.16083,46.65622,23.57912,23.0771,2.24,31985.28,0,11720,1,1,178.12634,107.99757,70.12877,1.43962,19921.68,0,186.45058,115.18771,71.26286,1.48,19921.68,0,139.03508,74.23208,64.803,1.25,19921.68,0,29823,1,1,74.04527,42.97832,31.06695,1.62138,20859.12,0,76.78987,45.26708,31.5228,1.66,20859.12,0,61.15639,32.23016,28.92623,1.44,20859.12,0,80522,1,1,33.65943,20.03326,13.62617,1.82313,22722.12,0,34.93649,21.13211,13.80438,1.86,22722.12,0,27.66225,14.87295,12.7893,1.65,22722.12,0,47717,2,0,52.14324,35.4143,16.72894,1.75978,8501.76,10.72022,54.89624,37.62181,17.27443,1.83,8501.76,10.07692,39.21493,25.04768,14.16725,1.43,8501.76,13.74125,29823,3,1,81.78062,44.19396,37.58666,2.06802,23013.72,12.66434,83.82419,45.38779,38.43641,2.14,23013.72,12.82517,72.18386,38.58767,33.5962,1.73,23013.72,11.90908,47717,3,1,59.36367,33.89,25.47367,2.16802,24089.4,11.10495,61.44271,35.40876,26.03394,2.24,24089.4,11.90908,49.60033,26.75776,22.84258,1.83,24089.4,7.32867,89469,4,2,40.14306,22.22607,17.91699,2.64978,33497.28,6.79731,41.52054,23.29745,18.22309,2.72,33497.28,8.24475,33.6743,17.19478,16.47952,2.32,33497.28,0,0.004845668,0.345897445
171119,4.8209E+11,48,209,10901,4,TX,315,59646,104963.1632,52212.4498,2.75,5,1.4056,1.32056,0.02857,0.56655,6.8,5.9,100,30.7957,0.04137,4637.08519,0.07271,0,443.11807,59646,4,2,60.06372,34.84846,25.21526,2.49057,33935.76,35.15142,60.48199,35.20773,25.27426,2.5,33935.76,35.72725,45.84257,22.63354,23.20904,2.17,33935.76,15.57342,11720,1,1,249.27235,177.35251,71.91983,1.33571,23074.2,3.24555,251.21951,179.18089,72.03862,1.34,23074.2,2.74825,183.06873,115.18771,67.88101,1.19,23074.2,20.15383,29823,1,1,101.09284,69.69693,31.39592,1.52571,23405.76,1.17782,101.86162,70.41545,31.44617,1.53,23405.76,0.91608,74.9543,45.26708,29.68723,1.38,23405.76,10.07692,80522,1,1,39.25339,25.81371,13.43968,1.72571,24064.56,0,39.54022,26.07983,13.46039,1.73,24064.56,0,29.50094,16.7656,12.73534,1.58,24064.56,0,47717,2,0,60.71709,43.5604,17.1567,1.69029,11154.24,36.56481,61.24176,44.00947,17.23229,1.7,11154.24,36.64333,42.87841,28.2918,14.58661,1.36,11154.24,33.89508,29823,3,1,108.11192,69.69693,38.415,2,25807.68,39.18219,108.94874,70.41545,38.53328,2.01,25807.68,39.39158,79.66029,45.26708,34.39322,1.66,25807.68,32.06291,47717,3,1,69.2744,43.5604,25.714,2.09029,26394.12,38.16141,69.79925,44.00947,25.78977,2.1,26394.12,38.4755,51.42946,28.2918,23.13766,1.76,26394.12,27.4825,89469,4,2,41.71341,23.87074,17.84266,2.57086,34848.36,34.15682,42.01174,24.12903,17.88271,2.58,34848.36,34.81116,31.57009,15.08903,16.48107,2.26,34848.36,11.90908,0.000210306,0.076090456
171120,4.8209E+11,48,209,10902,2,TX,964,59646,84108.26309,30961.42134,2.89,2.86,1.39368,1.03165,0.19917,0.38451,6,5.7,94.48961,17.8581,0.04268,5664.08558,0.57277,0.19066,861.11811,59646,4,2,52.08316,27.91975,24.16341,2.47029,30771.36,1.46725,53.24627,28.64903,24.59724,2.54,30771.36,1.83217,47.40648,24.98743,22.41906,2.19,30771.36,0,11720,1,1,178.87793,111.61897,67.25896,1.34415,19795.32,0,183.45359,115.18771,68.26588,1.38,19795.32,0,160.47996,97.26962,63.21033,1.2,19795.32,0,29823,1,1,73.59072,43.86461,29.72611,1.53415,20314.8,0,75.41631,45.26708,30.14924,1.57,20314.8,0,66.2503,38.22553,28.02477,1.39,20314.8,0,80522,1,1,32.84879,19.94422,12.90457,1.73415,21346.2,0,34.06094,20.98309,13.07786,1.77,21346.2,0,27.97491,15.76712,12.20779,1.59,21346.2,0,47717,2,0,51.22072,35.19641,16.02431,1.66631,8583.84,1.46725,53.94275,37.34518,16.59757,1.74,8583.84,1.83217,40.27592,26.55657,13.71935,1.37,8583.84,0,29823,3,1,80.67244,44.40155,36.27088,1.97631,22623.84,4.40176,82.4091,45.26708,37.14202,2.05,22623.84,5.4965,73.68963,40.92144,32.76819,1.68,22623.84,0,47717,3,1,58.22181,33.80491,24.4169,2.06631,23361.48,3.66813,60.14787,35.15728,24.99059,2.14,23361.48,4.58042,50.47747,28.36725,22.11022,1.77,23361.48,0,89469,4,2,39.33034,22.15879,17.17156,2.55029,31870.8,0.73363,40.6114,23.13651,17.47489,2.62,31870.8,0.91608,34.17944,18.22754,15.95189,2.27,31870.8,0,0.000952609,0.148523347
171121,4.8209E+11,48,209,10902,3,TX,634,59646,69241.91654,25488.91243,3.2,2.05,1.63406,1.20958,0.4164,0.13916,6,4.7,80.35714,14.97,0.01624,5747.08459,0.19896,0.02694,724.118,59646,4,2,51.55502,28.15634,23.39868,2.38596,29934.36,0,53.17601,28.5082,24.66782,2.59,29934.36,0,49.28318,27.66321,21.61996,2.1,29934.36,0,11720,1,1,157.59396,93.87011,63.72384,1.29675,18316.8,0,182.65404,115.18771,67.46633,1.43,18316.8,0,122.47187,63.99317,58.47869,1.11,18316.8,0,29823,1,1,67.45238,38.93368,28.5187,1.48675,19181.88,0,75.35846,45.26708,30.09139,1.62,19181.88,0,56.3719,30.05734,26.31456,1.3,19181.88,0,80522,1,1,33.30685,20.72612,12.58073,1.68675,20899.08,0,34.11849,20.89367,13.22482,1.82,20899.08,0,32.16933,20.49129,11.67803,1.5,20899.08,0,47717,2,0,50.89257,36.10522,14.78735,1.57596,7091.28,0,53.56806,37.19429,16.37377,1.78,7091.28,0,47.14284,34.57887,12.56397,1.29,7091.28,0,29823,3,1,75.76149,41.39667,34.36482,1.8818,21251.16,0,82.08922,45.26708,36.82214,2.09,21251.16,0,66.89308,35.97224,30.92085,1.59,21251.16,0,47717,3,1,58.14772,34.81369,23.33402,1.97763,22268.52,0,59.96643,34.98124,24.98519,2.19,22268.52,0,55.59876,34.57887,21.01989,1.68,22268.52,0,89469,4,2,37.82881,21.11913,16.70967,2.46596,31374,0,40.62651,23.02921,17.5973,2.67,31374,0,33.90778,18.44214,15.46564,2.18,31374,0,0.001724056,0.21194246
171323,4.8209E+11,48,209,10303,2,TX,638,59646,54242.06188,23486.07451,3.51,2.61,0.7038,0.92376,0.56113,0.16974,5.3,4.8,11.12853,46.9489,0.0141,6233.07305,0.21506,0.03092,910.11675,59646,4,2,51.29334,29.55273,21.74061,2.14627,29303.64,21.04981,55.34451,31.96861,23.3759,2.41,29303.64,12.82517,48.12482,27.66321,20.46161,1.94,29303.64,27.4825,11720,1,1,131.03076,71.67845,59.35231,1.08605,19316.88,17.47738,140.97416,76.79181,64.18235,1.26,19316.88,0,123.2538,67.67918,55.57462,0.95,19316.88,31.14683,29823,1,1,62.28962,35.69247,26.59716,1.27166,20233.8,12.33697,68.12194,39.55336,28.56857,1.44,20233.8,0,57.72804,32.67277,25.05527,1.14,20233.8,21.986,80522,1,1,33.56193,21.77321,11.78872,1.47166,22054.68,6.16849,36.0118,23.41224,12.59957,1.64,22054.68,0,31.64584,20.49129,11.15454,1.34,22054.68,10.993,47717,2,0,50.85976,37.7023,13.15746,1.34066,7580.52,31.73267,56.93339,41.69583,15.23756,1.61,7580.52,13.74125,46.10943,34.57887,11.53056,1.13,7580.52,45.80416,29823,3,1,75.54528,44.00231,31.54297,1.64505,21132.36,32.31276,85.02602,50.25651,34.7695,1.92,21132.36,17.40558,68.13018,39.11075,29.01943,1.43,21132.36,43.972,47717,3,1,58.06339,36.62069,21.4427,1.73505,22190.76,28.93847,62.80135,39.2313,23.57005,2.01,22190.76,15.57342,54.35772,34.57887,19.77885,1.52,22190.76,39.39158,89469,4,2,36.2327,20.64952,15.58318,2.23066,30795.12,18.07757,40.22415,23.47182,16.75234,2.5,30795.12,11.90908,33.1109,18.44214,14.66875,2.02,30795.12,22.90208,0.001428842,0.188433152
171324,4.8209E+11,48,209,10304,3,TX,774,59646,49287.40981,20007.03095,2.5,2.66,1.34652,1.26869,0.73385,0.46058,4.7,3.7,10.66176,11.823,0.03094,7590.07202,0.39086,0.0496,1161.11664,59646,4,2,38.65457,19.11277,19.5418,1.9784,25273.08,17.28723,41.02481,19.11277,21.91205,2.36,25273.08,11.90908,37.79494,19.11277,18.68217,1.84,25273.08,19.23775,11720,1,1,117.20483,67.39953,49.8053,0.94315,15606,16.8067,133.75758,76.79181,56.96577,1.2,15606,0,111.20154,63.99317,47.20837,0.85,15606,22.90208,29823,1,1,52.76896,29.98581,22.78315,1.13315,16430.04,9.41175,62.13723,36.33437,25.80286,1.39,16430.04,0,49.37131,27.68333,21.68798,1.04,16430.04,12.82517,80522,1,1,24.46589,14.15762,10.30827,1.34049,18068.4,2.0168,25.67101,14.15762,11.51339,1.59,18068.4,0,24.02882,14.15762,9.8712,1.25,18068.4,2.74825,47717,2,0,34.42614,23.89086,10.53528,1.17106,3934.44,30.9764,37.43601,23.89086,13.54516,1.56,3934.44,12.82517,33.33453,23.89086,9.44367,1.03,3934.44,37.55941,29823,3,1,65.56407,38.22553,27.33854,1.47372,17321.04,30.36331,70.22271,38.22553,31.99718,1.87,17321.04,15.57342,63.87449,38.22553,25.64896,1.33,17321.04,35.72725,47717,3,1,42.66769,23.89086,18.77683,1.57106,18304.92,26.08589,45.68282,23.89086,21.79196,1.96,18304.92,14.65733,41.57418,23.89086,17.68332,1.43,18304.92,30.23075,89469,4,2,26.78802,12.74184,14.04618,2.0584,26673.84,13.68207,28.44699,12.74184,15.70515,2.44,26673.84,10.993,26.18635,12.74184,13.4445,1.92,26673.84,14.65733,0.000631882,0.145362834
171334,4.8209E+11,48,209,10806,1,TX,410,59646,159537.3529,59601.86274,2.04,3.82,1.05944,1.32517,0.44634,0.0441,6.4,9,83.17073,29.4019,0.00409,2667.07591,0.00753,0,244.11706,59646,4,2,54.5636,29.20033,25.36327,2.58734,32424.84,0,54.34906,28.34725,26.00181,2.69,32424.84,0,54.82972,30.25853,24.57119,2.46,32424.84,0,11720,1,1,180.84166,108.79464,72.04702,1.50322,20010.24,0,213.58417,140.78498,72.79919,1.53,20010.24,0,140.22663,69.11263,71.11401,1.47,20010.24,0,29823,1,1,81.16251,49.09444,32.06807,1.69322,21126.96,0,87.71057,55.32643,32.38415,1.72,21126.96,0,73.04004,41.36405,31.67599,1.66,21126.96,0,80522,1,1,34.1051,20.0079,14.0972,1.89322,23346.36,0,34.98619,20.75954,14.22665,1.92,23346.36,0,33.01216,19.07553,13.93662,1.86,23346.36,0,47717,2,0,51.84327,34.79889,17.04438,1.78288,8898.12,3.27109,54.81752,36.94281,17.87471,1.89,8898.12,0,48.1539,32.13949,16.01441,1.65,8898.12,7.32867,29823,3,1,90.68704,52.74024,37.94679,2.08841,23244.84,2.45332,94.58715,55.32643,39.26073,2.2,23244.84,0,85.84919,49.53224,36.31695,1.95,23244.84,5.4965,47717,3,1,60.29045,34.57531,25.71514,2.18288,24465.24,0.40889,61.30261,34.75491,26.54771,2.29,24465.24,0,59.03493,34.35254,24.6824,2.05,24465.24,0.91608,89469,4,2,40.62444,22.51649,18.10795,2.66734,34112.88,0,41.43621,22.88167,18.55454,2.77,34112.88,0,39.61748,22.06351,17.55397,2.54,34112.88,0,0.003521987,0.371308178
171335,4.8209E+11,48,209,10902,1,TX,545,59646,116955.237,43052.84925,2.86,3.29,1.37161,1.01531,0.09541,0.02447,7.4,5.3,97.46193,16.0417,0.00144,2982.07901,0.02339,0.00031,284.1174,59646,4,2,55.57766,29.78439,25.79327,2.63802,32808.24,8.28677,55.2673,29.21235,26.05494,2.68,32808.24,9.16083,58.5201,35.20773,23.31237,2.24,32808.24,0,11720,1,1,216.58612,144.44845,72.13767,1.49424,20240.28,0,213.6462,140.78498,72.86122,1.52,20240.28,0,244.45879,179.18089,65.2779,1.25,20240.28,0,29823,1,1,88.80045,56.76611,32.03434,1.68424,21253.32,0,87.66482,55.32643,32.33839,1.71,21253.32,0,99.56714,70.41545,29.15169,1.44,21253.32,0,80522,1,1,35.87414,21.83336,14.04078,1.88519,23263.2,0,35.54615,21.38546,14.16069,1.91,23263.2,0,38.98376,26.07983,12.90393,1.65,23263.2,0,47717,2,0,56.07336,38.64076,17.43261,1.82802,8988.84,9.46507,55.83398,38.07448,17.75949,1.87,8988.84,10.07692,58.34292,44.00947,14.33344,1.43,8988.84,3.66433,29823,3,1,95.50981,56.76611,38.74369,2.13706,23612.04,12.60497,94.57829,55.32643,39.25187,2.18,23612.04,13.74125,104.34127,70.41545,33.92582,1.73,23612.04,1.83217,47717,3,1,62.86177,36.61611,26.24565,2.23706,24748.2,10.7728,62.41666,35.83628,26.58037,2.28,24748.2,11.90908,67.08175,44.00947,23.07228,1.83,24748.2,0,89469,4,2,41.95393,23.56888,18.38505,2.71802,34393.68,7.45809,42.14713,23.57912,18.56801,2.76,34393.68,8.24475,40.12225,23.47182,16.65043,2.32,34393.68,0,0.008438775,0.466625035
171343,4.8209E+11,48,209,10905,1,TX,646,59646,76428.68289,11420.71328,2.99,5.18,1.29776,1.39225,0.04334,0.03495,5.5,4.9,89.38307,21.1903,0.00352,2725.07477,0.02496,0.00097,301.11694,59646,4,2,53.53315,28.08664,25.44651,2.54353,33629.04,18.40391,53.65531,28.10582,25.54948,2.56,33629.04,19.23775,50.83703,27.66321,23.17382,2.18,33629.04,0,11720,1,1,169.2335,98.04626,71.18724,1.39133,21541.68,0,168.70033,97.26962,71.43071,1.4,21541.68,0,181.00115,115.18771,65.81344,1.2,21541.68,0,29823,1,1,70.03431,38.53074,31.50358,1.58133,22448.88,0,69.83142,38.22553,31.60589,1.59,22448.88,0,74.51245,45.26708,29.24537,1.39,22448.88,0,80522,1,1,34.32447,20.57684,13.74764,1.78133,24249.24,0,34.37025,20.58071,13.78954,1.79,24249.24,0,33.31409,20.49129,12.8228,1.59,24249.24,0,47717,2,0,53.66004,36.55165,17.10839,1.73353,10115.28,19.59794,53.87792,36.64103,17.23689,1.75,10115.28,20.15383,48.85121,34.57887,14.27234,1.37,10115.28,7.32867,29823,3,1,82.47966,44.22775,38.25191,2.0431,24670.44,22.14766,82.63303,44.18067,38.45236,2.06,24670.44,22.90208,79.09467,45.26708,33.8276,1.67,24670.44,5.4965,47717,3,1,59.93486,34.06407,25.87079,2.1431,25721.28,21.03305,60.48124,34.47828,26.00296,2.16,25721.28,21.986,47.87544,24.92194,22.9535,1.77,25721.28,0,89469,4,2,40.61358,22.49678,18.1168,2.62396,35110.8,17.52754,40.86738,22.68048,18.1869,2.64,35110.8,18.32167,35.01179,18.44214,16.56965,2.27,35110.8,0,0.006996351,0.591389949
