GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",2217,39,1997,111,220,106
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",1186,40,1108,69,78,59
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",856,27,710,60,146,60
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",1741,54,1629,86,112,79
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",2263,86,2095,126,168,107
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",1813,56,1687,98,126,82
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",3080,92,2785,177,295,162
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",1588,61,1389,104,199,97
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",1915,47,1795,85,120,79
1400000US48453000306,48453000306,"Census Tract 3.06, Travis County, Texas",1993,89,1879,104,114,72
1400000US48453000307,48453000307,"Census Tract 3.07, Travis County, Texas",853,36,815,46,38,35
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",1780,57,1580,100,200,92
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",1631,77,1524,93,107,67
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",2547,82,2093,134,454,152
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",393,31,326,37,67,38
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",2867,135,2310,167,557,211
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",1899,132,1547,152,352,151
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",893,33,670,63,223,59
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",661,42,632,52,29,31
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",1371,55,1306,77,65,56
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",1131,51,1031,79,100,69
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",1080,35,973,61,107,48
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",1020,25,932,63,88,57
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",2219,83,1997,113,222,86
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",1676,79,1477,107,199,83
1400000US48453001100,48453001100,"Census Tract 11, Travis County, Texas",4649,154,3465,288,1184,270
1400000US48453001200,48453001200,"Census Tract 12, Travis County, Texas",3617,137,3179,223,438,180
1400000US48453001303,48453001303,"Census Tract 13.03, Travis County, Texas",2579,110,2084,197,495,175
1400000US48453001304,48453001304,"Census Tract 13.04, Travis County, Texas",2123,50,2010,101,113,83
1400000US48453001305,48453001305,"Census Tract 13.05, Travis County, Texas",3029,111,2833,170,196,130
