GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",432000,27711
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",678600,68452
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",-,**
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",481700,53085
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",339300,65929
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",481900,29168
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",449700,64074
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",395200,52058
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",326900,45736
1400000US48453000306,48453000306,"Census Tract 3.06, Travis County, Texas",432700,39277
1400000US48453000307,48453000307,"Census Tract 3.07, Travis County, Texas",382600,23344
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",344200,64287
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",267700,27267
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",601000,228988
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",-,**
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",230000,47667
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",-,**
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",361100,77432
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",252600,37302
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",236300,20331
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",298900,49020
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",277700,37466
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",244700,54598
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",218300,24151
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",337800,21047
1400000US48453001100,48453001100,"Census Tract 11, Travis County, Texas",441000,65467
1400000US48453001200,48453001200,"Census Tract 12, Travis County, Texas",527000,85796
1400000US48453001303,48453001303,"Census Tract 13.03, Travis County, Texas",461100,57789
1400000US48453001304,48453001304,"Census Tract 13.04, Travis County, Texas",476200,56733
1400000US48453001305,48453001305,"Census Tract 13.05, Travis County, Texas",437000,40323
1400000US48453001307,48453001307,"Census Tract 13.07, Travis County, Texas",384000,44843
1400000US48453001308,48453001308,"Census Tract 13.08, Travis County, Texas",309600,31330
1400000US48453001401,48453001401,"Census Tract 14.01, Travis County, Texas",584600,82641
1400000US48453001402,48453001402,"Census Tract 14.02, Travis County, Texas",468200,62351
1400000US48453001403,48453001403,"Census Tract 14.03, Travis County, Texas",288100,33916
1400000US48453001501,48453001501,"Census Tract 15.01, Travis County, Texas",382500,17957
1400000US48453001503,48453001503,"Census Tract 15.03, Travis County, Texas",240700,14477
1400000US48453001504,48453001504,"Census Tract 15.04, Travis County, Texas",329000,25871
1400000US48453001505,48453001505,"Census Tract 15.05, Travis County, Texas",321200,25901
1400000US48453001602,48453001602,"Census Tract 16.02, Travis County, Texas",601200,117271
1400000US48453001603,48453001603,"Census Tract 16.03, Travis County, Texas",767600,72629
1400000US48453001604,48453001604,"Census Tract 16.04, Travis County, Texas",850100,68375
1400000US48453001605,48453001605,"Census Tract 16.05, Travis County, Texas",697700,115164
1400000US48453001606,48453001606,"Census Tract 16.06, Travis County, Texas",-,**
1400000US48453001705,48453001705,"Census Tract 17.05, Travis County, Texas",532600,42950
1400000US48453001706,48453001706,"Census Tract 17.06, Travis County, Texas",410200,28747
1400000US48453001707,48453001707,"Census Tract 17.07, Travis County, Texas",349600,22991
1400000US48453001712,48453001712,"Census Tract 17.12, Travis County, Texas",257300,13250
1400000US48453001713,48453001713,"Census Tract 17.13, Travis County, Texas",225600,21435
1400000US48453001714,48453001714,"Census Tract 17.14, Travis County, Texas",378100,17384
1400000US48453001716,48453001716,"Census Tract 17.16, Travis County, Texas",452200,18096
1400000US48453001718,48453001718,"Census Tract 17.18, Travis County, Texas",475000,41972
1400000US48453001719,48453001719,"Census Tract 17.19, Travis County, Texas",556300,37438
1400000US48453001722,48453001722,"Census Tract 17.22, Travis County, Texas",417100,55923
1400000US48453001728,48453001728,"Census Tract 17.28, Travis County, Texas",221200,9917
1400000US48453001729,48453001729,"Census Tract 17.29, Travis County, Texas",185000,19627
1400000US48453001733,48453001733,"Census Tract 17.33, Travis County, Texas",388500,29931
1400000US48453001737,48453001737,"Census Tract 17.37, Travis County, Texas",333300,12225
1400000US48453001738,48453001738,"Census Tract 17.38, Travis County, Texas",289600,10388
1400000US48453001740,48453001740,"Census Tract 17.40, Travis County, Texas",286000,10153
1400000US48453001741,48453001741,"Census Tract 17.41, Travis County, Texas",380000,105836
1400000US48453001742,48453001742,"Census Tract 17.42, Travis County, Texas",281700,40709
1400000US48453001745,48453001745,"Census Tract 17.45, Travis County, Texas",300600,26444
1400000US48453001746,48453001746,"Census Tract 17.46, Travis County, Texas",220400,8996
1400000US48453001747,48453001747,"Census Tract 17.47, Travis County, Texas",223400,12734
1400000US48453001748,48453001748,"Census Tract 17.48, Travis County, Texas",236400,16336
1400000US48453001749,48453001749,"Census Tract 17.49, Travis County, Texas",217300,15028
1400000US48453001750,48453001750,"Census Tract 17.50, Travis County, Texas",287800,50877
1400000US48453001751,48453001751,"Census Tract 17.51, Travis County, Texas",479500,26018
1400000US48453001752,48453001752,"Census Tract 17.52, Travis County, Texas",149600,75553
1400000US48453001753,48453001753,"Census Tract 17.53, Travis County, Texas",-,**
1400000US48453001754,48453001754,"Census Tract 17.54, Travis County, Texas",288500,23757
1400000US48453001755,48453001755,"Census Tract 17.55, Travis County, Texas",489300,17045
1400000US48453001756,48453001756,"Census Tract 17.56, Travis County, Texas",286200,17013
1400000US48453001757,48453001757,"Census Tract 17.57, Travis County, Texas",452200,33132
1400000US48453001760,48453001760,"Census Tract 17.60, Travis County, Texas",478100,28350
1400000US48453001761,48453001761,"Census Tract 17.61, Travis County, Texas",690100,52988
1400000US48453001764,48453001764,"Census Tract 17.64, Travis County, Texas",375800,56341
1400000US48453001765,48453001765,"Census Tract 17.65, Travis County, Texas",370500,17855
1400000US48453001766,48453001766,"Census Tract 17.66, Travis County, Texas",286600,65686
1400000US48453001768,48453001768,"Census Tract 17.68, Travis County, Texas",376500,28509
1400000US48453001769,48453001769,"Census Tract 17.69, Travis County, Texas",273600,23965
